sweep_index,requested_profile,requested_seed,profile,runs,max_ticks_per_run,seed,fun_score,fun_label,max_round_reached,game_over_runs,avg_score,avg_rounds,avg_crushes,avg_items,avg_deaths,active_ratio,direction_change_rate,stage_variety_ratio,stage_unique_per_run,stage_coverage_ratio,score_target,stage_variety_target_ratio,comp_rounds,comp_crushes,comp_items,comp_score,comp_stages,comp_agency,comp_activity,comp_challenge
1,arcade,1337,arcade,4,8000,1337,31,weak fun signal,2,1,13388.000,1.250,1.750,0.000,1.250,0.678913,0.050331,0.000000,0.000000,0.000000,42000.000,0.620000,7.812,3.500,0.000,4.781,0.000,5.033,5.000,5.250
2,arcade,1338,arcade,4,8000,1338,28,weak fun signal,2,1,10268.500,1.000,1.250,0.000,1.250,0.663720,0.052544,0.000000,0.000000,0.000000,42000.000,0.620000,6.250,2.500,0.000,3.667,0.000,5.254,5.000,5.250
3,arcade,1339,arcade,4,8000,1339,43,needs tuning,4,0,22080.000,2.000,3.500,0.000,0.500,0.668541,0.053603,0.100000,0.500000,0.400000,42000.000,0.620000,12.500,7.000,0.000,7.886,1.613,5.360,5.000,3.500
4,arcade,1340,arcade,4,8000,1340,46,needs tuning,4,2,20114.500,1.750,3.250,0.000,2.250,0.702573,0.136474,0.150000,0.750000,0.600000,42000.000,0.620000,10.938,6.500,0.000,7.184,2.419,8.000,5.000,6.417
5,arcade,1341,arcade,4,8000,1341,64,promising,6,2,31788.500,3.000,6.750,0.000,3.250,0.679503,0.058955,0.350000,1.750000,1.000000,42000.000,0.620000,18.750,13.500,0.000,11.353,5.645,5.895,5.000,4.083
6,arcade,1342,arcade,4,8000,1342,38,needs tuning,4,0,19251.000,1.750,2.750,0.000,0.250,0.672637,0.053354,0.100000,0.500000,0.400000,42000.000,0.620000,10.938,5.500,0.000,6.875,1.613,5.335,5.000,2.917
7,arcade,1343,arcade,4,8000,1343,24,weak fun signal,1,1,8561.500,0.750,0.750,0.000,1.000,0.692045,0.055637,0.000000,0.000000,0.000000,42000.000,0.620000,4.688,1.500,0.000,3.058,0.000,5.564,5.000,4.667
8,arcade,1344,arcade,4,8000,1344,33,weak fun signal,3,1,14352.000,1.250,2.000,0.000,1.250,0.676580,0.052757,0.050000,0.250000,0.200000,42000.000,0.620000,7.812,4.000,0.000,5.126,0.806,5.276,5.000,5.250
9,arcade,1345,arcade,4,8000,1345,52,needs tuning,5,0,27384.000,2.500,4.500,0.000,0.750,0.691843,0.055617,0.200000,1.000000,0.600000,42000.000,0.620000,15.625,9.000,0.000,9.780,3.226,5.562,5.000,4.083
10,arcade,1346,arcade,4,8000,1346,25,weak fun signal,1,1,8415.500,0.750,0.750,0.000,1.250,0.683296,0.053323,0.000000,0.000000,0.000000,42000.000,0.620000,4.688,1.500,0.000,3.006,0.000,5.332,5.000,5.250
11,arcade,1347,arcade,4,8000,1347,32,weak fun signal,3,1,14004.500,1.250,1.750,0.000,1.000,0.683834,0.055794,0.050000,0.250000,0.200000,42000.000,0.620000,7.812,3.500,0.000,5.002,0.806,5.579,5.000,4.667
12,arcade,1348,arcade,4,8000,1348,35,needs tuning,2,1,17677.500,1.500,2.250,0.000,1.000,0.671171,0.049896,0.000000,0.000000,0.000000,42000.000,0.620000,9.375,4.500,0.000,6.313,0.000,4.990,5.000,4.667
13,arcade,1337,arcade,4,8000,1337,31,weak fun signal,2,1,13388.000,1.250,1.750,0.000,1.250,0.678913,0.050331,0.000000,0.000000,0.000000,42000.000,0.620000,7.812,3.500,0.000,4.781,0.000,5.033,5.000,5.250
14,arcade,1338,arcade,4,8000,1338,28,weak fun signal,2,1,10268.500,1.000,1.250,0.000,1.250,0.663720,0.052544,0.000000,0.000000,0.000000,42000.000,0.620000,6.250,2.500,0.000,3.667,0.000,5.254,5.000,5.250
15,arcade,1339,arcade,4,8000,1339,43,needs tuning,4,0,22080.000,2.000,3.500,0.000,0.500,0.668541,0.053603,0.100000,0.500000,0.400000,42000.000,0.620000,12.500,7.000,0.000,7.886,1.613,5.360,5.000,3.500
16,arcade,1340,arcade,4,8000,1340,46,needs tuning,4,2,20114.500,1.750,3.250,0.000,2.250,0.702573,0.136474,0.150000,0.750000,0.600000,42000.000,0.620000,10.938,6.500,0.000,7.184,2.419,8.000,5.000,6.417
17,arcade,1341,arcade,4,8000,1341,64,promising,6,2,31788.500,3.000,6.750,0.000,3.250,0.679503,0.058955,0.350000,1.750000,1.000000,42000.000,0.620000,18.750,13.500,0.000,11.353,5.645,5.895,5.000,4.083
18,arcade,1342,arcade,4,8000,1342,38,needs tuning,4,0,19251.000,1.750,2.750,0.000,0.250,0.672637,0.053354,0.100000,0.500000,0.400000,42000.000,0.620000,10.938,5.500,0.000,6.875,1.613,5.335,5.000,2.917
19,arcade,1343,arcade,4,8000,1343,24,weak fun signal,1,1,8561.500,0.750,0.750,0.000,1.000,0.692045,0.055637,0.000000,0.000000,0.000000,42000.000,0.620000,4.688,1.500,0.000,3.058,0.000,5.564,5.000,4.667
20,arcade,1344,arcade,4,8000,1344,33,weak fun signal,3,1,14352.000,1.250,2.000,0.000,1.250,0.676580,0.052757,0.050000,0.250000,0.200000,42000.000,0.620000,7.812,4.000,0.000,5.126,0.806,5.276,5.000,5.250
21,arcade,1345,arcade,4,8000,1345,52,needs tuning,5,0,27384.000,2.500,4.500,0.000,0.750,0.691843,0.055617,0.200000,1.000000,0.600000,42000.000,0.620000,15.625,9.000,0.000,9.780,3.226,5.562,5.000,4.083
22,arcade,1346,arcade,4,8000,1346,25,weak fun signal,1,1,8415.500,0.750,0.750,0.000,1.250,0.683296,0.053323,0.000000,0.000000,0.000000,42000.000,0.620000,4.688,1.500,0.000,3.006,0.000,5.332,5.000,5.250
23,arcade,1347,arcade,4,8000,1347,32,weak fun signal,3,1,14004.500,1.250,1.750,0.000,1.000,0.683834,0.055794,0.050000,0.250000,0.200000,42000.000,0.620000,7.812,3.500,0.000,5.002,0.806,5.579,5.000,4.667
24,arcade,1348,arcade,4,8000,1348,35,needs tuning,2,1,17677.500,1.500,2.250,0.000,1.000,0.671171,0.049896,0.000000,0.000000,0.000000,42000.000,0.620000,9.375,4.500,0.000,6.313,0.000,4.990,5.000,4.667
25,arcade,1337,arcade,4,8000,1337,31,weak fun signal,2,1,13388.000,1.250,1.750,0.000,1.250,0.678913,0.050331,0.000000,0.000000,0.000000,42000.000,0.620000,7.812,3.500,0.000,4.781,0.000,5.033,5.000,5.250
26,arcade,1338,arcade,4,8000,1338,28,weak fun signal,2,1,10268.500,1.000,1.250,0.000,1.250,0.663720,0.052544,0.000000,0.000000,0.000000,42000.000,0.620000,6.250,2.500,0.000,3.667,0.000,5.254,5.000,5.250
27,arcade,1339,arcade,4,8000,1339,43,needs tuning,4,0,22080.000,2.000,3.500,0.000,0.500,0.668541,0.053603,0.100000,0.500000,0.400000,42000.000,0.620000,12.500,7.000,0.000,7.886,1.613,5.360,5.000,3.500
28,arcade,1340,arcade,4,8000,1340,46,needs tuning,4,2,20114.500,1.750,3.250,0.000,2.250,0.702573,0.136474,0.150000,0.750000,0.600000,42000.000,0.620000,10.938,6.500,0.000,7.184,2.419,8.000,5.000,6.417
